time,uninfected,infected_Gv,infected_exo_Vp,infected_endo_Vp,infected_Gv_Vp,infected_endo_Vp_Gv,infected_endo_exo_Vp,infected_Gv_endo_exo_Vp,cells,viruses,virophages
1,1026,0,0,0,0,0,0,0,1026,512,2048
2,1027,0,0,0,0,0,0,0,1027,512,2048
3,1027,0,0,0,0,0,0,0,1027,512,2048
4,1028,0,0,0,0,0,0,0,1028,512,2048
5,1028,0,0,0,0,0,0,0,1028,512,2048
6,1029,0,0,0,0,0,0,0,1029,512,2048
7,1029,0,0,0,0,0,0,0,1029,512,2048
8,1030,0,0,0,0,0,0,0,1030,512,2048
9,1030,0,0,0,0,0,0,0,1030,512,2048
10,1031,0,0,0,0,0,0,0,1031,512,2048
11,1031,0,0,0,0,0,0,0,1031,512,2048
12,1031,0,0,0,0,0,0,0,1031,512,2048
13,1031,0,0,0,0,0,0,0,1031,512,2048
14,1031,0,0,0,0,0,0,0,1031,512,2048
15,1033,0,0,0,0,0,0,0,1033,512,2048
16,1033,0,0,0,0,0,0,0,1033,512,2048
17,1034,0,0,0,0,0,0,0,1034,512,2048
18,1034,0,0,0,0,0,0,0,1034,512,2048
19,1033,0,1,0,0,0,0,0,1034,512,2047
20,1033,0,1,0,0,0,0,0,1034,512,2047
21,1032,0,2,0,0,0,0,0,1034,512,2046
22,1032,0,1,1,0,0,0,0,1034,512,2046
23,1032,0,1,1,0,0,0,0,1034,512,2046
24,1032,0,1,1,0,0,0,0,1034,512,2046
25,1032,0,1,1,0,0,0,0,1034,512,2046
26,1032,0,1,1,0,0,0,0,1034,512,2046
27,1032,0,1,1,0,0,0,0,1034,512,2046
28,1032,0,1,1,0,0,0,0,1034,512,2046
29,1032,0,2,1,0,0,0,0,1035,512,2045
30,1032,0,1,2,0,0,0,0,1035,512,2045
31,1033,0,1,2,0,0,0,0,1036,512,2045
32,1033,0,1,2,0,0,0,0,1036,512,2045
33,1034,0,1,2,0,0,0,0,1037,512,2045
34,1034,0,1,2,0,0,0,0,1037,512,2045
35,1034,0,1,2,0,0,0,0,1037,512,2045
36,1035,0,1,2,0,0,0,0,1038,512,2045
37,1035,0,1,2,0,0,0,0,1038,512,2045
38,1035,0,0,3,0,0,0,0,1038,512,2045
39,1035,0,0,3,0,0,0,0,1038,512,2045
40,1035,0,0,3,0,0,0,0,1038,512,2045
41,1036,0,0,3,0,0,0,0,1039,512,2045
42,1036,0,0,3,0,0,0,0,1039,512,2045
43,1036,0,0,3,0,0,0,0,1039,512,2045
44,1037,0,0,3,0,0,0,0,1040,512,2045
45,1037,0,0,3,0,0,0,0,1040,512,2045
46,1038,0,0,3,0,0,0,0,1041,512,2045
47,1038,0,0,3,0,0,0,0,1041,512,2045
48,1039,0,0,3,0,0,0,0,1042,512,2045
49,1040,0,0,3,0,0,0,0,1043,512,2045
50,1040,0,0,3,0,0,0,0,1043,512,2045
51,1040,0,0,3,0,0,0,0,1043,512,2045
52,1040,0,0,3,0,0,0,0,1043,512,2045
53,1040,0,0,3,0,0,0,0,1043,512,2045
54,1040,0,0,3,0,0,0,0,1043,512,2045
55,1041,0,0,3,0,0,0,0,1044,512,2045
56,1041,0,0,3,0,0,0,0,1044,512,2045
57,1041,0,0,3,0,0,0,0,1044,512,2045
58,1041,0,0,3,0,0,0,0,1044,512,2045
59,1042,0,0,3,0,0,0,0,1045,512,2045
60,1042,0,0,3,0,0,0,0,1045,512,2045
61,1043,0,0,3,0,0,0,0,1046,512,2045
62,1043,0,0,3,0,0,0,0,1046,512,2045
63,1043,0,0,3,0,0,0,0,1046,512,2045
64,1043,0,0,3,0,0,0,0,1046,512,2045
