time,uninfected,infected_Gv,infected_exo_Vp,infected_endo_Vp,infected_Gv_Vp,infected_endo_Vp_Gv,infected_endo_exo_Vp,infected_Gv_endo_exo_Vp,cells,viruses,virophages
1,1024,0,0,0,0,0,0,0,1024,512,2048
2,1024,0,0,0,0,0,0,0,1024,512,2048
3,1024,0,0,0,0,0,0,0,1024,512,2048
4,1024,0,0,0,0,0,0,0,1024,512,2048
5,1024,0,0,0,0,0,0,0,1024,512,2048
6,1025,0,0,0,0,0,0,0,1025,512,2048
7,1026,0,0,0,0,0,0,0,1026,512,2048
8,1025,0,1,0,0,0,0,0,1026,512,2047
9,1025,0,1,0,0,0,0,0,1026,512,2047
10,1025,0,1,0,0,0,0,0,1026,512,2047
11,1025,0,1,0,0,0,0,0,1026,512,2047
12,1025,0,1,0,0,0,0,0,1026,512,2047
13,1025,0,1,0,0,0,0,0,1026,512,2047
14,1025,0,1,0,0,0,0,0,1026,512,2047
15,1025,0,1,0,0,0,0,0,1026,512,2047
16,1025,0,1,0,0,0,0,0,1026,512,2047
17,1026,0,1,0,0,0,0,0,1027,512,2047
18,1026,0,1,0,0,0,0,0,1027,512,2047
19,1026,0,1,0,0,0,0,0,1027,512,2047
20,1027,0,1,0,0,0,0,0,1028,512,2047
21,1028,0,1,0,0,0,0,0,1029,512,2047
22,1028,0,1,0,0,0,0,0,1029,512,2047
23,1028,0,1,0,0,0,0,0,1029,512,2047
24,1028,0,1,0,0,0,0,0,1029,512,2047
25,1028,0,1,0,0,0,0,0,1029,512,2047
26,1028,0,1,0,0,0,0,0,1029,512,2047
27,1028,0,1,0,0,0,0,0,1029,512,2047
28,1028,0,1,0,0,0,0,0,1029,512,2047
29,1028,0,1,0,0,0,0,0,1029,512,2047
30,1028,0,1,0,0,0,0,0,1029,512,2047
31,1028,0,1,0,0,0,0,0,1029,512,2047
32,1028,0,1,0,0,0,0,0,1029,512,2047
33,1029,0,1,0,0,0,0,0,1030,512,2047
34,1029,0,1,0,0,0,0,0,1030,512,2047
35,1030,0,1,0,0,0,0,0,1031,512,2047
36,1031,0,1,0,0,0,0,0,1032,512,2047
37,1030,0,2,0,0,0,0,0,1032,512,2046
38,1030,0,2,0,0,0,0,0,1032,512,2046
39,1031,0,1,1,0,0,0,0,1033,512,2046
40,1031,0,1,1,0,0,0,0,1033,512,2046
41,1031,0,1,1,0,0,0,0,1033,512,2046
42,1031,0,1,1,0,0,0,0,1033,512,2046
43,1031,0,1,1,0,0,0,0,1033,512,2046
44,1031,0,1,1,0,0,0,0,1033,512,2046
45,1031,0,0,2,0,0,0,0,1033,512,2046
46,1030,0,1,2,0,0,0,0,1033,512,2044
47,1031,0,1,2,0,0,0,0,1034,512,2044
48,1032,0,1,2,0,0,0,0,1035,512,2044
49,1032,0,1,2,0,0,0,0,1035,512,2044
50,1033,0,1,2,0,0,0,0,1036,512,2044
51,1033,0,1,2,0,0,0,0,1036,512,2044
52,1034,0,1,2,0,0,0,0,1037,512,2044
53,1034,0,1,2,0,0,0,0,1037,512,2044
54,1035,0,1,2,0,0,0,0,1038,512,2044
55,1035,0,0,3,0,0,0,0,1038,512,2044
56,1035,0,0,3,0,0,0,0,1038,512,2044
57,1035,0,0,3,0,0,0,0,1038,512,2044
58,1034,0,1,3,0,0,0,0,1038,512,2043
59,1033,0,2,3,0,0,0,0,1038,512,2042
60,1034,0,2,3,0,0,0,0,1039,512,2042
61,1034,0,2,3,0,0,0,0,1039,512,2042
62,1034,0,2,3,0,0,0,0,1039,512,2042
63,1034,0,1,4,0,0,0,0,1039,512,2042
64,1034,0,1,4,0,0,0,0,1039,512,2042
65,1034,0,1,4,0,0,0,0,1039,512,2042
66,1035,0,1,4,0,0,0,0,1040,512,2042
67,1035,0,1,4,0,0,0,0,1040,512,2042
68,1035,0,1,4,0,0,0,0,1040,512,2042
69,1035,0,1,4,0,0,0,0,1040,512,2042
70,1035,0,1,4,0,0,0,0,1040,512,2042
71,1035,0,0,5,0,0,0,0,1040,512,2042
72,1035,0,0,5,0,0,0,0,1040,512,2042
73,1035,0,0,5,0,0,0,0,1040,512,2042
74,1035,0,0,5,0,0,0,0,1040,512,2042
75,1035,0,0,5,0,0,0,0,1040,512,2042
76,1035,0,0,5,0,0,0,0,1040,512,2042
77,1036,0,0,5,0,0,0,0,1041,512,2042
78,1036,0,0,5,0,0,0,0,1041,512,2042
79,1036,0,0,5,0,0,0,0,1041,512,2042
80,1036,0,0,5,0,0,0,0,1041,512,2042
81,1036,0,0,5,0,0,0,0,1041,512,2042
82,1036,0,0,5,0,0,0,0,1041,512,2042
83,1038,0,0,5,0,0,0,0,1043,512,2042
84,1038,0,0,5,0,0,0,0,1043,512,2042
85,1038,0,0,5,0,0,0,0,1043,512,2042
86,1038,0,0,5,0,0,0,0,1043,512,2042
87,1038,0,0,5,0,0,0,0,1043,512,2042
88,1039,0,0,5,0,0,0,0,1044,512,2042
89,1039,0,0,5,0,0,0,0,1044,512,2042
90,1040,0,0,5,0,0,0,0,1045,512,2042
91,1040,0,0,5,0,0,0,0,1045,512,2042
92,1040,0,0,5,0,0,0,0,1045,512,2042
93,1040,0,0,5,0,0,0,0,1045,512,2042
94,1040,0,0,5,0,0,0,0,1045,512,2042
95,1040,0,0,5,0,0,0,0,1045,512,2042
