cell_number,treatment,run,surviving_cells,max_virophage_amplitude,max_virus_amplitude,t_extinction
1,1,89,439,90067,8546,99973
1,1,80,358,92970,8686,80621
1,1,74,461,63678,6309,97177
1,1,73,471,108296,10577,67370
1,1,87,371,120626,12147,51203
1,1,18,407,88852,9226,77531
1,1,27,309,89970,8509,90353
1,1,20,355,102524,10542,95225
1,1,29,379,118645,11253,76584
1,1,16,353,97742,9143,64801
1,1,11,356,77232,7192,100001
1,1,6,412,101711,9857,55505
1,1,1,415,91676,9426,86226
1,1,8,437,98841,9382,76608
1,1,9,327,82226,8312,99191
1,1,7,383,112368,10478,82107
8,1,55,960,7705,2476,19985
8,1,99,944,9396,2289,18679
8,1,52,896,14803,4578,26879
8,1,64,920,5261,2771,27420
8,1,90,952,10365,2413,18039
8,1,97,888,16697,2770,37740
8,1,63,880,40465,2734,36740
8,1,37,992,2773,1557,19682
8,1,30,1008,2048,1253,12687
8,1,39,768,53964,4815,39182
8,1,62,856,26459,3186,27506
8,1,96,952,29241,2113,26682
8,1,91,992,5407,1576,15167
8,1,65,904,24154,3491,26834
8,1,98,904,27695,3221,24067
8,1,53,952,9803,2116,21401
8,1,54,1008,2048,1202,11761
8,1,38,976,12674,1698,23852
8,1,31,952,11840,2098,21711
8,1,36,872,18930,2707,32435
8,1,14,880,44060,3878,24166
8,1,13,632,73942,5490,42831
8,1,25,920,13786,3325,19672
8,1,22,728,68859,6242,35493
8,1,76,912,23779,3190,23717
8,1,82,896,14320,3086,21611
8,1,49,952,14985,2099,22722
8,1,85,704,44936,3239,46977
8,1,71,976,6359,2068,20580
8,1,47,960,22842,1723,23526
8,1,78,856,43780,4042,22134
8,1,40,936,30017,3453,18164
8,1,23,1008,2048,1126,13855
8,1,24,904,20995,3844,21711
8,1,12,944,15540,3475,15369
8,1,15,928,16206,3058,24587
8,1,41,952,19205,1556,26851
8,1,46,1000,4793,1459,14689
8,1,79,880,31399,2873,26587
8,1,70,904,42216,4103,18382
8,1,84,968,17466,2329,19122
8,1,83,1016,6805,590,15022
8,1,77,944,24255,2010,22205
8,1,48,952,13254,2169,22522
8,1,2,1008,2048,1374,11575
8,1,5,928,18458,1590,35288
8,1,4,896,21892,2846,33720
8,1,3,968,12086,1138,31303
8,1,100,768,36701,4360,40082
8,1,33,936,5187,3745,18445
8,1,34,936,9714,2701,31073
8,1,51,904,21625,3480,26669
8,1,69,968,14190,1753,20551
8,1,56,976,5770,1977,18349
8,1,94,976,6651,1840,22231
8,1,60,992,4515,1668,15622
8,1,58,1000,2187,1344,15527
8,1,67,696,53172,4641,39101
8,1,93,904,9484,2604,27389
8,1,35,976,4177,1427,24858
8,1,32,904,37119,3096,21876
8,1,59,912,39704,3923,22033
8,1,92,888,33237,3372,20756
8,1,66,904,52578,4056,22737
8,1,61,800,38982,4257,31319
8,1,95,872,41479,3885,30749
8,1,68,888,17385,4302,24633
8,1,57,928,14493,2422,31273
8,1,50,928,17868,2059,28435
8,1,86,904,22129,2856,26531
8,1,72,928,10717,2414,26893
8,1,75,928,9907,2193,22743
8,1,81,848,24076,3831,31021
8,1,43,992,5987,1158,23799
8,1,88,968,8835,1755,22434
8,1,44,960,10796,2274,22539
8,1,10,984,8040,1954,15912
8,1,28,872,22834,2705,36022
8,1,17,952,15106,1935,24117
8,1,21,904,25203,3207,24377
8,1,19,904,20059,2352,32970
8,1,26,968,19841,1618,19879
8,1,45,936,3440,2173,26668
8,1,42,872,14059,4231,19499
8,1,89,896,20982,5047,21099
8,1,80,944,25227,3025,17313
8,1,74,936,27599,2295,23934
8,1,73,816,46660,5054,29389
8,1,87,976,4462,1451,21271
8,1,18,880,35363,3049,34738
8,1,27,944,2048,2730,22522
8,1,20,880,35684,4426,22839
8,1,29,928,26969,2611,25406
8,1,16,920,12929,2548,29875
8,1,11,912,23025,3774,18431
8,1,6,904,26673,2442,30002
8,1,1,976,4088,2340,14763
8,1,8,832,13679,6203,30459
8,1,9,856,32416,3252,26911
8,1,7,872,25933,3966,28335
4,3,55,977,4677,1231,16782
4,3,99,1013,2048,512,12505
4,3,52,984,3987,995,24253
4,3,64,982,2048,678,14597
4,3,90,996,2048,851,20341
4,3,97,1010,2048,704,18684
4,3,63,1012,2048,512,15895
4,3,37,981,2539,1366,17096
4,3,30,1004,2048,710,15904
4,3,39,977,2660,913,15876
4,3,62,997,2048,516,19873
4,3,96,1005,2048,874,11959
4,3,91,893,23132,1834,44016
4,3,65,1007,2048,629,23891
4,3,98,1018,2048,512,10356
4,3,53,990,2048,1095,15894
4,3,54,1006,2048,601,13214
4,3,38,982,2048,606,19292
4,3,31,979,6631,710,18361
4,3,36,989,2048,744,21487
4,3,14,1000,2361,731,13217
4,3,13,1001,6021,715,28688
4,3,25,995,4865,1014,26828
4,3,22,964,2279,1371,18598
4,3,76,997,6004,729,20879
4,3,82,1012,3083,583,15089
4,3,49,1014,2048,588,12336
4,3,85,998,2460,798,13319
4,3,71,1012,4443,512,17298
4,3,47,1010,2048,512,12922
4,3,78,1018,2048,512,10979
4,3,40,993,12581,1089,21057
4,3,23,987,2048,599,23457
4,3,24,1014,2048,581,11476
4,3,12,1001,2048,855,13446
4,3,15,1003,2048,569,14514
4,3,41,1001,11789,935,17933
4,3,46,997,2048,762,12358
4,3,79,877,19700,1506,61556
4,3,70,1010,2048,576,12824
4,3,84,971,18173,1930,20525
4,3,83,984,4948,1095,16382
4,3,77,1006,2048,608,14892
4,3,48,991,2048,810,12820
4,3,2,1011,2048,783,12573
4,3,5,965,6979,1261,22085
4,3,4,1010,2048,512,13974
4,3,3,1004,3530,616,16881
4,3,100,983,4560,1084,18807
4,3,33,1023,2048,512,11019
4,3,34,976,5482,1235,19675
4,3,51,963,17798,1463,33805
4,3,69,894,21289,1672,50368
4,3,56,988,2048,845,22606
4,3,94,1003,2048,761,11465
4,3,60,990,2048,734,20094
4,3,58,967,13598,1311,20975
4,3,67,1010,2048,512,13922
4,3,93,984,4410,893,16266
4,3,35,998,8794,870,21522
4,3,32,1002,2048,814,17257
4,3,59,1015,2048,611,10428
4,3,92,1018,2047,512,11588
4,3,66,852,35569,2815,31013
4,3,61,1019,2048,724,11783
4,3,95,952,13587,1394,30349
4,3,68,1010,4237,596,16495
4,3,57,993,2048,750,13825
4,3,50,1010,2048,821,11919
4,3,86,1006,2048,512,13532
4,3,72,970,2048,1385,33437
4,3,75,987,13552,1137,22766
4,3,81,967,12955,1938,20301
4,3,43,1008,2048,784,12815
4,3,88,1002,2047,575,12750
4,3,44,1012,2048,558,12740
4,3,10,1011,2048,585,17339
4,3,28,998,2048,661,12505
4,3,17,997,2048,924,13265
4,3,21,1017,2048,512,12374
4,3,19,1014,2047,698,12795
4,3,26,974,9561,1147,20431
4,3,45,986,2048,936,19354
4,3,42,1020,2048,512,12150
4,3,89,996,2048,746,15444
4,3,80,1005,2048,603,14393
4,3,74,959,6209,1045,42192
4,3,73,977,2048,967,21850
4,3,87,978,8202,903,26210
4,3,18,909,31434,2402,33747
4,3,27,981,2048,1331,18652
4,3,20,1009,2048,837,11612
4,3,29,998,2048,643,13119
4,3,16,1008,2048,685,12276
4,3,11,995,2048,666,13216
4,3,6,918,24578,1952,34000
4,3,1,984,3584,1254,17404
4,3,8,962,20090,1572,28418
4,3,9,999,2048,711,17562
4,3,7,998,2048,796,16218
1,3,55,410,49375,4715,100001
1,3,99,642,32254,3078,100001
1,3,52,1003,2048,726,12548
1,3,64,604,44158,4084,95728
1,3,90,960,2048,1352,34050
1,3,97,497,42515,4030,99320
1,3,63,1008,2048,740,12261
1,3,37,985,2048,675,21566
1,3,30,812,18335,1712,100001
1,3,39,707,41981,3997,100001
1,3,62,449,60941,5751,98308
1,3,96,934,16600,1779,39017
1,3,91,586,40200,3816,88010
1,3,65,632,43330,4195,100001
1,3,98,396,70634,6564,100001
1,3,53,420,69802,6645,100001
1,3,54,761,27770,2622,100001
1,3,38,531,44337,4130,100001
1,3,31,970,2047,968,18615
1,3,36,781,31223,2900,83373
1,3,14,544,40549,3790,97265
1,3,13,700,21094,1948,100001
1,3,25,713,54378,5121,100001
1,3,22,395,81701,7702,100001
1,3,76,993,7788,743,28128
1,3,82,690,30132,2865,100001
1,3,49,988,2048,1026,18246
1,3,85,600,31928,2973,100001
1,3,71,922,13475,1297,49238
1,3,47,610,52702,4933,100001
1,3,78,992,4804,682,24319
1,3,40,1000,2048,772,21550
1,3,23,942,9975,1071,40410
1,3,24,808,31535,3002,88502
1,3,12,917,16459,1597,55840
1,3,15,545,46645,4468,96406
1,3,41,829,22394,2143,78387
1,3,46,643,49244,4688,100001
1,3,79,612,34050,3293,100001
1,3,70,979,2048,996,18791
1,3,84,884,16309,1564,69682
1,3,83,459,59946,5713,100001
1,3,77,931,9656,931,58406
1,3,48,728,36391,3545,100001
1,3,2,1003,2048,804,12829
1,3,5,678,38510,3631,100001
1,3,4,750,24202,2312,100001
1,3,3,634,40661,3797,90241
1,3,100,958,10323,1738,29571
1,3,33,616,36105,3424,100001
1,3,34,663,36897,3551,100001
1,3,51,997,6427,708,19200
1,3,69,637,42120,4016,100001
1,3,56,837,24852,2412,67914
1,3,94,817,42796,4029,50366
1,3,60,660,39197,3697,100001
1,3,58,960,4598,1184,51354
1,3,67,1002,2048,696,16948
1,3,93,975,8243,828,38226
1,3,35,572,68744,6443,73375
1,3,32,900,11647,1224,77047
1,3,59,669,33778,3182,100001
1,3,92,518,41223,3829,100001
1,3,66,485,39163,3728,100001
1,3,61,1003,2048,716,11572
1,3,95,913,14530,1542,58744
1,3,68,520,47968,4458,100001
1,3,57,423,56687,5310,100001
1,3,50,728,36785,3453,94677
1,3,86,995,2048,766,17965
1,3,72,523,47418,4396,95833
1,3,75,1000,3073,718,18372
1,3,81,1006,2048,728,18906
