time,uninfected,infected_Gv,infected_exo_Vp,infected_endo_Vp,infected_Gv_Vp,infected_endo_Vp_Gv,infected_endo_exo_Vp,infected_Gv_endo_exo_Vp,cells,viruses,virophages
1,1024,0,0,0,0,0,0,0,1024,512,2048
2,1024,0,0,0,0,0,0,0,1024,512,2048
3,1024,0,0,0,0,0,0,0,1024,512,2048
4,1024,0,0,0,0,0,0,0,1024,512,2048
5,1024,0,0,0,0,0,0,0,1024,512,2048
6,1024,0,0,0,0,0,0,0,1024,512,2048
7,1024,0,0,0,0,0,0,0,1024,512,2048
8,1024,0,0,0,0,0,0,0,1024,512,2048
9,1024,0,0,0,0,0,0,0,1024,512,2048
10,1024,0,0,0,0,0,0,0,1024,512,2048
11,1024,0,0,0,0,0,0,0,1024,512,2048
12,1024,0,0,0,0,0,0,0,1024,512,2048
13,1024,0,0,0,0,0,0,0,1024,512,2048
14,1024,0,0,0,0,0,0,0,1024,512,2048
15,1024,0,0,0,0,0,0,0,1024,512,2048
16,1024,0,0,0,0,0,0,0,1024,512,2048
17,1024,0,0,0,0,0,0,0,1024,512,2048
18,1024,0,0,0,0,0,0,0,1024,512,2048
19,1024,0,0,0,0,0,0,0,1024,512,2048
20,1024,0,0,0,0,0,0,0,1024,512,2048
21,1024,0,0,0,0,0,0,0,1024,512,2048
22,1024,0,0,0,0,0,0,0,1024,512,2048
23,1024,0,0,0,0,0,0,0,1024,512,2048
24,1024,0,0,0,0,0,0,0,1024,512,2048
25,1024,0,0,0,0,0,0,0,1024,512,2048
26,1024,0,0,0,0,0,0,0,1024,512,2048
27,1024,0,0,0,0,0,0,0,1024,512,2048
28,1024,0,0,0,0,0,0,0,1024,512,2048
29,1024,0,0,0,0,0,0,0,1024,512,2048
30,1024,0,0,0,0,0,0,0,1024,512,2048
31,1024,0,0,0,0,0,0,0,1024,512,2048
32,1024,0,0,0,0,0,0,0,1024,512,2048
33,1024,0,0,0,0,0,0,0,1024,512,2047
34,1024,0,0,0,0,0,0,0,1024,512,2047
35,1024,0,0,0,0,0,0,0,1024,512,2047
36,1024,0,0,0,0,0,0,0,1024,512,2047
37,1024,0,0,0,0,0,0,0,1024,512,2047
38,1024,0,0,0,0,0,0,0,1024,512,2047
39,1024,0,0,0,0,0,0,0,1024,512,2047
40,1024,0,0,0,0,0,0,0,1024,512,2047
41,1024,0,0,0,0,0,0,0,1024,512,2047
42,1024,0,0,0,0,0,0,0,1024,512,2047
43,1024,0,0,0,0,0,0,0,1024,512,2047
44,1024,0,0,0,0,0,0,0,1024,512,2047
45,1024,0,0,0,0,0,0,0,1024,512,2047
46,1024,0,0,0,0,0,0,0,1024,512,2047
47,1023,0,1,0,0,0,0,0,1024,512,2046
48,1023,0,1,0,0,0,0,0,1024,512,2046
49,1023,0,1,0,0,0,0,0,1024,512,2046
50,1023,0,1,0,0,0,0,0,1024,512,2046
51,1023,0,1,0,0,0,0,0,1024,512,2046
52,1023,0,1,0,0,0,0,0,1024,512,2046
53,1023,0,1,0,0,0,0,0,1024,512,2046
54,1023,0,1,0,0,0,0,0,1024,512,2046
55,1023,0,0,1,0,0,0,0,1024,512,2046
56,1023,0,0,1,0,0,0,0,1024,512,2046
57,1022,1,0,1,0,0,0,0,1024,511,2046
58,1022,1,0,1,0,0,0,0,1024,511,2046
59,1022,1,0,1,0,0,0,0,1024,511,2046
60,1022,1,0,1,0,0,0,0,1024,511,2046
61,1022,1,0,1,0,0,0,0,1024,511,2046
62,1022,1,0,1,0,0,0,0,1024,511,2046
63,1022,1,0,1,0,0,0,0,1024,511,2046
64,1022,1,0,1,0,0,0,0,1024,511,2046
65,1022,1,0,1,0,0,0,0,1024,511,2046
66,1022,1,0,1,0,0,0,0,1024,510,2046
67,1022,1,0,1,0,0,0,0,1024,510,2046
68,1022,1,0,1,0,0,0,0,1024,510,2046
69,1022,1,0,1,0,0,0,0,1024,510,2046
70,1022,1,0,1,0,0,0,0,1024,510,2046
71,1022,1,0,1,0,0,0,0,1024,510,2046
72,1022,1,0,1,0,0,0,0,1024,510,2046
73,1022,1,0,1,0,0,0,0,1024,510,2046
74,1022,1,0,1,0,0,0,0,1024,510,2046
75,1022,1,0,1,0,0,0,0,1024,510,2046
76,1022,1,0,1,0,0,0,0,1024,510,2046
77,1022,0,0,1,0,0,0,0,1023,610,2046
78,1017,4,1,1,0,0,0,0,1023,551,2045
79,1016,5,1,1,0,0,0,0,1023,535,2045
80,1016,5,1,1,0,0,0,0,1023,533,2045
81,1016,5,1,1,0,0,0,0,1023,532,2045
82,1016,5,1,1,0,0,0,0,1023,531,2045
83,1016,5,1,1,0,0,0,0,1023,529,2045
84,1016,5,1,1,0,0,0,0,1023,527,2045
85,1016,5,0,2,0,0,0,0,1023,525,2045
86,1016,5,0,2,0,0,0,0,1023,525,2045
87,1016,5,0,2,0,0,0,0,1023,525,2045
88,1016,5,0,2,0,0,0,0,1023,524,2045
89,1016,5,0,2,0,0,0,0,1023,524,2045
90,1016,5,0,2,0,0,0,0,1023,524,2045
91,1016,5,0,2,0,0,0,0,1023,523,2045
92,1016,5,0,2,0,0,0,0,1023,523,2045
93,1016,5,0,2,0,0,0,0,1023,523,2045
94,1016,5,0,2,0,0,0,0,1023,523,2045
95,1016,5,0,2,0,0,0,0,1023,523,2045
